,code,score,abs_score,0,1,2,3,4,5
0,50,0.7990524442894751,0.4937892863947385,81.35,81.35,81.35,81.35,81.35,81.35
1,50,0.7446486291770903,0.4908892306808502,81.35,82.10982657253489,81.72260126980724,81.92491450399264,81.67653300383337,81.94847865124233
2,50,0.7265372801602188,0.4934545733933013,81.35,80.67472839355469,80.81739807128906,80.90941619873047,81.12239837646484,81.20594024658203
3,50,0.7068847490494038,0.49259903476368905,81.35,80.96941421574887,80.66613765013238,80.44028730167523,80.17596140825862,79.91604883832865
0,51,0.791169371810613,0.4934250109083571,33.94,33.94,33.94,33.94,33.94,33.94
1,51,0.7536767120695791,0.4920225767312334,33.94,33.27310847214435,33.541652389349395,32.12158190596241,32.796759418427925,32.86085664051831
2,51,0.7119267640573846,0.4929418016513697,33.94,34.03289794921875,34.00992202758789,34.20627212524414,34.00874710083008,33.725921630859375
3,51,0.7075747440682172,0.4932890297825029,33.94,33.811923379964725,33.707815026946754,33.625992145687576,33.55416942005177,33.47913466777066
0,52,0.8035557606384455,0.4924655350745356,51.6,51.6,51.6,51.6,51.6,51.6
1,52,0.7185656227541931,0.4879265250098325,51.6,51.644649275735496,52.323402828905294,52.21513118969515,53.15666009403237,52.97624358056876
2,52,0.7281356519950255,0.4894138474837471,51.6,50.5699348449707,50.434940338134766,50.60103225708008,50.85611343383789,50.747554779052734
3,52,0.7381073413331473,0.4924306496038239,51.6,51.66383874355283,51.80988290892931,51.98095706122115,52.090168884168875,52.1957525813341
0,53,0.7786690729170282,0.4937066669019907,35.82,35.82,35.82,35.82,35.82,35.82
1,53,0.7595339206222804,0.49092489806588946,35.82,35.45942125373294,35.783060132049116,35.80882660091916,35.96860034509426,36.06665662654621
2,53,0.7135880231190654,0.4923474216153063,35.82,35.43141555786133,35.36524963378906,35.31333923339844,35.33246994018555,35.3687629699707
3,53,0.7028885834174254,0.4936780571016357,35.82,35.830939105889996,35.85111097699061,35.90632055939979,35.939408855347814,35.976219208766466
0,54,0.812937732254697,0.49338886007424565,24.25,24.25,24.25,24.25,24.25,24.25
1,54,0.7619067663938727,0.49235789421342147,24.25,24.106195599822648,24.305349709942625,23.92638056117648,23.95809951237187,24.235137814687373
2,54,0.7039695189404067,0.4928792933764969,24.25,23.9995174407959,24.068288803100586,24.148788452148438,24.04224395751953,23.999563217163086
3,54,0.7315868743297985,0.49286506981852013,24.25,24.183509558191567,24.15114555770697,24.14787568768245,24.128435517986503,24.112790422817667
0,55,0.8065152265172661,0.4942971814044839,17.37,17.37,17.37,17.37,17.37,17.37
1,55,0.7428917141585465,0.4919518645344861,17.37,16.733245288328156,16.979384692309864,16.92011263251348,17.10138558266141,17.26550761901055
2,55,0.7058292120532437,0.49417507671489763,17.37,17.387353897094727,17.388385772705078,17.442359924316406,17.369264602661133,17.480085372924805
3,55,0.7008048074974812,0.49197022103131566,17.37,17.381341115730127,17.39126535586056,17.402821706116608,17.413940568397294,17.424768313494543
0,56,0.8033076583949214,0.4952249516280036,26.4,26.4,26.4,26.4,26.4,26.4
1,56,0.7443087422224302,0.4939328023728064,26.4,25.874738714149068,26.05291863224342,26.02256490165065,26.082480374672496,26.104498260953957
2,56,0.7159571785895024,0.49528048686017867,26.4,26.29864501953125,26.2642765045166,26.323362350463867,26.289764404296875,26.34000587463379
3,56,0.7187299685295442,0.49523372792804027,26.4,26.388518752296953,26.39227174089125,26.391943255950732,26.38771909197391,26.38200231591078
0,57,0.7992159528498043,0.4943287348046912,49.9,49.9,49.9,49.9,49.9,49.9
1,57,0.750965414479879,0.49194285808890126,49.9,49.96244457792145,49.89975033024683,49.92192489917852,49.29619382801361,49.492588039364136
2,57,0.7270279647115916,0.49394525794467464,49.9,50.068641662597656,50.289283752441406,50.35568618774414,50.09328079223633,50.19322204589844
3,57,0.7327679691015261,0.49385819466543607,49.9,49.79587492868196,49.748635619030495,49.71444857361693,49.65844686322164,49.60639566884046
0,58,0.8369767569669982,0.4950594637339155,47.15,47.15,47.15,47.15,47.15,47.15
1,58,0.7139149154987509,0.4926743139949917,47.15,46.844726622438635,47.10373165497564,46.978955755409395,47.39766766078587,47.198659486324345
2,58,0.6863632606798558,0.4940700275971489,47.15,47.0024528503418,46.6546745300293,46.697120666503906,46.58442306518555,47.095951080322266
3,58,0.6759140515658424,0.49471104404704525,47.15,47.11584981267701,47.08598815846435,47.06125805701856,47.03736630544933,47.01474351822363
0,59,0.8143410880015708,0.4940403361218714,42.28,42.28,42.28,42.28,42.28,42.28
1,59,0.7273633003952373,0.49089713498170323,42.28,40.978731790834146,41.17821890422598,42.83472268658031,42.60345928786192,41.334544255823864
2,59,0.7105320781983762,0.4941786947397288,42.28,41.975425720214844,42.03802490234375,42.11389923095703,42.07387161254883,42.38402557373047
3,59,0.7044608131248519,0.4941224672601901,42.28,42.156638099097336,42.08603264877884,42.02438493299693,41.961188872090325,41.899060036919686
0,6201,0.795881620513394,0.49193425209234143,14.52,14.52,14.52,14.52,14.52,14.52
1,6201,0.7430608504118885,0.49024130153970813,14.52,14.268424949813133,14.299815539085397,14.476190361927598,14.522093970652977,14.548074671519919
2,6201,0.6863841043237887,0.48976756297040547,14.52,14.313531875610352,14.224883079528809,14.208440780639648,14.227005958557129,14.254682540893555
3,6201,0.643822108994759,0.49213037967145046,14.52,14.481465553464089,14.483178500102902,14.494912550474472,14.48973845282018,14.468001383389078
0,6203,0.8237101014793302,0.493258973659781,37.79,37.79,37.79,37.79,37.79,37.79
1,6203,0.7141559054801899,0.4917874844275587,37.79,37.597312803244805,37.903736537133426,37.60625365059162,37.67270544321952,37.50817105849528
2,6203,0.6954012140698402,0.49352151482172013,37.79,37.983070373535156,37.892154693603516,37.953697204589844,37.93418502807617,37.93804168701172
3,6203,0.7171563813803048,0.4914045016810565,37.79,37.9081887314706,38.048534958890116,38.18489001443118,38.315152792297155,38.43740943631338
0,6204,0.8346458251895791,0.49460823120461694,54.45,54.45,54.45,54.45,54.45,54.45
1,6204,0.7484424269265021,0.4928033291821411,54.45,53.641085907353464,53.60230941621199,53.89466000799073,53.658522651950385,53.58431428018994
2,6204,0.7104982779215995,0.4945208343125766,54.45,54.26692581176758,54.41410446166992,54.57929992675781,54.28425216674805,54.333683013916016
3,6204,0.7046533425541522,0.4946909365391149,54.45,54.40798368225022,54.38557478962094,54.36710766224242,54.33878911789021,54.306959178225654
0,6208,0.8180037634410463,0.49413158298991816,47.20000000000001,47.20000000000001,47.20000000000001,47.20000000000001,47.20000000000001,47.20000000000001
1,6208,0.7240990527369294,0.4908283760451995,47.20000000000001,47.385237953255505,47.350308401474244,47.82072825691087,47.30923646812237,48.04767370841168
2,6208,0.7024889126857644,0.49384229614441116,47.20000000000001,47.6502685546875,47.34886932373047,47.28853988647461,47.31009292602539,47.24790954589844
3,6208,0.7203291399035792,0.49420132035470743,47.20000000000001,47.187289704468725,47.23358353259157,47.3342734531168,47.429923796338194,47.50685116565674
0,690,0.7991330627955169,0.4956847869334478,22.0,22.0,22.0,22.0,22.0,22.0
1,690,0.767749143182429,0.49533535007898083,22.0,21.79832211555989,21.882962749789808,21.923162760366388,21.99650141075158,21.981855139216197
2,690,0.7036515060812258,0.49589288539157056,22.0,21.84365463256836,21.805635452270508,21.79618263244629,21.831212997436523,21.8111515045166
3,690,0.7460584821112157,0.49261020624914686,22.0,22.0792569573885,22.107392753797857,22.169212408589903,22.221824261136014,22.26117318986416
0,692,0.7948204090036557,0.4967434859267326,21.16,21.16,21.16,21.16,21.16,21.16
1,692,0.750391769837162,0.49558407752946976,21.16,21.167410967313298,21.047042222943258,21.18630553350458,21.2325207467477,21.293127258032722
2,692,0.7471576449531916,0.49619610649165335,21.16,21.218292236328125,21.228986740112305,21.2716007232666,21.285396575927734,21.28487777709961
3,692,0.7721640829790027,0.49427946759438746,21.16,21.195819045383324,21.25425878025223,21.349105122191375,21.45322253437162,21.544298715521343
0,701,0.8018816072003971,0.4968816072003971,21.03,21.03,21.03,21.03,21.03,21.03
1,701,0.7896388764061204,0.4958888764061203,21.03,20.88056438428463,20.61756141950839,20.73730881263439,20.85743450268202,20.973440622806567
2,701,0.7309929554911614,0.49724295549116143,21.03,20.897171020507812,20.914630889892578,20.867145538330078,20.895362854003906,20.91806411743164
3,701,0.7350043897875154,0.4975043897875152,21.03,20.858866612731138,20.74966694961617,20.785213683872957,20.79491489970716,20.809622985243553
0,713,0.792439886132115,0.4968516508379975,30.96,30.96,30.96,30.96,30.96,30.96
1,713,0.761851153311948,0.4956746827237128,30.96,30.888645850022666,30.76103114485979,30.377959053037696,30.32300672252307,30.53993112786452
2,713,0.7220773185571863,0.4970773185571861,30.96,30.622539520263672,30.59571075439453,30.43755340576172,30.45381736755371,30.47808265686035
3,713,0.7866478872848873,0.49694200493194624,30.96,31.06871495752923,31.069701581336158,30.968207829955002,30.921234201563937,30.962619220154018
